Gemeinde	PLZ	Kanton	idofs	Name
Aadorf	8355	TG	4551	Elektra Häuslenen
Aadorf	8355	TG	4551	Elektra Häuslenen
Aadorf	8355	TG	4551	Elektra Wittenwil und Umgebung
Aadorf	8355	TG	4551	Elektra-Genossenschaft Guntershausen
Aadorf	8355	TG	4551	Elektrizitätswerke des Kantons Zürich EKZ
Aadorf	8355	TG	4551	EW Aadorf
Aarau	5000	AG	4001	IBAarau Strom AG
Aarberg	3270	BE	301	EWA Energie Wasser Aarberg AG
Aarburg	4663	AG	4271	Technische Betriebe Aarburg
Aarwangen	4912	BE	321	Gemeindebetriebe Aarwangen Elektrizitätsversorgung
Abtwil	5646	AG	4221	Elektra - Genossenschaft Abtwil
Aclens	1123	VD	5621	Romande Energie SA
Acquarossa	6722	TI	5048	Azienda Elettrica Ticinese
Acquarossa	6722	TI	5048	Società Elettrica Sopracenerina SA (Ticino)
Adelboden	3715	BE	561	BKW FMB Energie AG
Adelboden	3715	BE	561	Licht- & Wasserwerk Adelboden AG
Adligenswil	6043	LU	1051	Centralschweizerische Kraftwerke AG CKW
Adlikon	8452	ZH	21	Elektrizitätswerke des Kantons Zürich EKZ
Adliswil	8134	ZH	131	Elektrizitätswerke des Kantons Zürich EKZ
Aedermannsdorf	4714	SO	2421	Elektra Thal
Aefligen	3426	BE	401	Genossenschaft Elektra, Jegenstorf
Aegerten	2558	BE	731	Energieversorgung Aegerten EVA
Aesch (BL)	4147	BL	2761	EBM Netz AG
Aesch (LU)	6287	LU	1021	Centralschweizerische Kraftwerke AG CKW
Aesch (ZH)	8904	ZH	241	Elektrizitätswerke des Kantons Zürich EKZ
Aeschi (SO)	4556	SO	2511	Elektra-Genossenschaft äusseres Wasseramt Etziken
Aeschi bei Spiez	3703	BE	562	BKW FMB Energie AG
Aeschlen	3672	BE	601	Elektra Aeschlen-Linden-Heimenschwand
Aetigkofen	4583	SO	2441	Gebnet AG
Aetingen	4587	SO	2442	Genossenschaft Elektra, Jegenstorf
Aeugst am Albis	8914	ZH	1	Elektrizitätswerke des Kantons Zürich EKZ
Affeltrangen	9556	TG	4711	Technische Werke der Gemeinde Affeltrangen
Affoltern am Albis	8910	ZH	2	Elektrizitätswerke des Kantons Zürich EKZ
Affoltern im Emmental	3416	BE	951	onyx Energie Netze AG
Agarn	3951	VS	6101	Regionale energie Lieferung Leuk AG
Agiez	1352	VD	5742	Romande Energie SA
Agno	6990	TI	5141	Aziende Industriali di Lugano SA AIL
Aigle	1860	VD	5401	Romande Energie SA
Aire-la-Ville	1288	GE	6601	Services Industriels de Genève SIG
Airolo	6780	TI	5061	Azienda Elettrica Comunale Airolo
Alberswil	6248	LU	1121	Centralschweizerische Kraftwerke AG CKW
Albinen	3955	VS	6102	Regionale energie Lieferung Leuk AG
Albligen	3183	BE	851	BKW FMB Energie AG
Alchenstorf	3473	BE	402	onyx Energie Netze AG
Allaman	1165	VD	5851	Société Electrique des Forces de l' Aubonne S.A.
Alle	2942	JU	6771	BKW FMB Energie AG
Allmendingen	3112	BE	630	BKW FMB Energie AG
Allschwil	4123	BL	2762	EBM Netz AG
Almens	7416	GR	3631	ewz Elektrizitätswerk der Stadt Zürich (Mittelbünden)
Alpnach	6053	OW	1401	Elektrizitätswerk Obwalden
Alpthal	8849	SZ	1361	Elektrizitätswerk Schwyz
Alt St. Johann	9656	SG	3351	St.Gallisch-Appenzellische Kraftwerke AG SAK
Altbüron	6147	LU	1122	Centralschweizerische Kraftwerke AG CKW
Altdorf (UR)	6460	UR	1201	Elektrizitätswerk Altdorf AG
Altendorf	8852	SZ	1341	Elektrizitätsversorgung Altendorf AG
Alterswil	1715	FR	2291	Groupe E SA
Altikon	8479	ZH	211	Elektrizitätswerke des Kantons Zürich EKZ
Altishofen	6246	LU	1123	Centralschweizerische Kraftwerke AG CKW
Altnau	8595	TG	4641	Politische Gemeinde Altnau
Alto Malcantone	6939	TI	5237	Aziende Industriali di Lugano SA AIL
Altstätten	9450	SG	3251	Stadt Altstätten
Altwis	6286	LU	1022	Centralschweizerische Kraftwerke AG CKW
Alvaneu	7473	GR	3511	Elektrizitätsversorgung Alvaneu
Alvaschein	7451	GR	3501	Elektrizitätsversorgung der Gemeinde Alvaschein
Amden	8873	SG	3311	St.Gallisch-Appenzellische Kraftwerke AG SAK
Amlikon-Bissegg	8514	TG	4881	Werkbetrieb EW der Politischen Gemeinde Amlikon-Bissegg
Ammerswil	5600	AG	4191	AEW Energie AG
Amriswil	8580	TG	4461	Technische Betriebe Amriswil
Amsoldingen	3633	BE	921	BKW FMB Energie AG
Andeer	7440	GR	3701	Energieversorgung Schams / Avers
Andelfingen	8450	ZH	30	Elektrizitätswerk Andelfingen
Andermatt	6490	UR	1202	Elektrizitätswerk Ursern
Andiast	7159	GR	3611	Repower Ilanz AG
Andwil (SG)	9204	SG	3441	Elektra Andwil
Andwil (SG)	9204	SG	3441	Technische Betriebe Waldkirch
Anières	1247	GE	6602	Services Industriels de Genève SIG
Anniviers	3961	VS	6252	Sierre - Energie SA
Anwil	4469	BL	2841	Elektra Baselland
Anzonico	6748	TI	5062	Società Elettrica Sopracenerina SA (Ticino)
Appenzell	9050	AI	3101	Feuerschaugemeinde Appenzell
Apples	1143	VD	5421	Romande Energie SA
Aranno	6994	TI	5143	Aziende Industriali di Lugano SA AIL
Arbaz	1974	VS	6261	L' Energie de Sion-Région SA
Arbedo-Castione	6517	TI	5001	Aziende Municipalizzate Bellinzona
Arboldswil	4424	BL	2881	Elektra Baselland
Arbon	9320	TG	4401	Arbon Energie AG
Arbon	9320	TG	4401	SN Energie AG
Arch	3296	BE	381	Elektra Arch
Arconciel	1732	FR	2171	Groupe E SA
Ardez	7546	GR	3741	Cumün d'Ardez
Ardez	7546	GR	3741	EE - ENERGIA ENGIADINA
Ardon	1957	VS	6021	Service électrique intercommunal S.A.
Arisdorf	4422	BL	2821	Elektra Baselland
Aristau	5628	AG	4222	Elektrizitäts - Genossenschaft Aristau
Arlesheim	4144	BL	2763	EBM Netz AG
Arnex-sur-Nyon	1277	VD	5701	Romande Energie SA
Arnex-sur-Orbe	1321	VD	5743	Romande Energie SA
Arni (AG)	8905	AG	4061	Elektra-Genossenschaft Arni-Islisberg
Arni (BE)	3508	BE	602	Elektra Arni
Arogno	6822	TI	5144	Aziende Industriali di Lugano SA AIL
Arosa	7050	GR	3921	Arosa Energie
Arth	6410	SZ	1362	Gemeindewerke Arth
Arvigo	6543	GR	3801	Consorzio energia elettrica Calanca (CEEC)
Arzier	1273	VD	5702	Romande Energie SA
Ascona	6612	TI	5091	Azienda Elettrica Comunale del Borgo di Ascona
Assens	1042	VD	5511	Romande Energie SA
Astano	6999	TI	5146	Aziende Industriali di Lugano SA AIL
Attalens	1616	FR	2321	Groupe E SA
Attelwil	5056	AG	4272	IBAarau Strom AG
Attinghausen	6468	UR	1203	Elektrizitätswerk Altdorf AG
Attiswil	4536	BE	971	onyx Energie Netze AG
Au (SG)	9434	SG	3231	Elektrizitätsversorgung Au / Heerbrugg
Aubonne	1170	VD	5422	Société Electrique des Forces de l' Aubonne S.A.
Auboranges	1673	FR	2061	Groupe E SA
Auenstein	5105	AG	4091	AEW Energie AG
Augst	4302	BL	2822	Elektra Augst
Augst	4302	BL	2822	Elektra Baselland
Ausserberg	3938	VS	6191	VED Visp Energie Dienste AG
Auswil	4944	BE	322	onyx Energie Netze AG
Autafond	1782	FR	2172	Groupe E SA
Autigny	1742	FR	2173	Groupe E SA
Auvernier	2012	NE	6401	Commune d'Auvernier
Auw	5644	AG	4223	Elektra Auw
Avegno Gordevio	6670	TI	5324	Società Elettrica Sopracenerina SA (Ticino)
Avenches	1580	VD	5451	Groupe E SA
Avers	7446	GR	3681	Energieversorgung Schams / Avers
Avry	1754	FR	2174	Groupe E SA
Avully	1237	GE	6603	Services Industriels de Genève SIG
Avusy	1285	GE	6604	Services Industriels de Genève SIG
Ayent	1966	VS	6082	L' Energie de Sion-Région SA
Baar	6319	ZG	1701	Elektrizitätsgenossenschaft Allenwinden
Baar	6319	ZG	1701	Elektrizitätswerke des Kantons Zürich EKZ
Baar	6319	ZG	1701	WWZ Netze AG
Bachenbülach	8184	ZH	51	Elektrizitätswerke des Kantons Zürich EKZ
Bachs	8164	ZH	81	Elektrizitätswerke des Kantons Zürich EKZ
Bad Ragaz	7310	SG	3291	St.Gallisch-Appenzellische Kraftwerke AG SAK
Bad Zurzach	5330	AG	4323	AEW Energie AG
Baden	5400	AG	4021	Regionalwerke AG Baden
Bagnes	1947	VS	6031	Services Industriels de Bagnes
Baldingen	5333	AG	4301	Elektra - Genossenschaft Baldingen
Balerna	6828	TI	5242	Acqua Gas Elettricità SA Chiasso
Balgach	9436	SG	3232	Politische Gemeinde Balgach
Ballaigues	1338	VD	5744	VO Energies Distribution SA
Ballens	1144	VD	5423	Romande Energie SA
Ballmoos	3303	BE	531	Genossenschaft Elektra, Jegenstorf
Ballwil	6275	LU	1023	Centralschweizerische Kraftwerke AG CKW
Balm bei Günsberg	4525	SO	2541	AEK Energie AG
Balm bei Messen	3254	SO	2443	Genossenschaft Elektra, Jegenstorf
Balsthal	4710	SO	2422	Alpiq Versorgungs AG (AVAG)
Baltschieder	3937	VS	6281	VED Visp Energie Dienste AG
Bangerten	3256	BE	532	Genossenschaft Elektra, Jegenstorf
Bannwil	4913	BE	323	onyx Energie Netze AG
Barberêche	1783	FR	2243	Groupe E SA
Bardonnex	1257	GE	6605	Services Industriels de Genève SIG
Bäretswil	8344	ZH	111	Elektrizitätswerke des Kantons Zürich EKZ
Bargen (BE)	3282	BE	302	Elektrizitätsverwaltung Bargen
Bargen (SH)	8233	SH	2931	Elektrizitätswerk des Kantons Schaffhausen AG EKS
Bäriswil	3323	BE	403	Genossenschaft Elektra, Jegenstorf
Bärschwil	4252	SO	2611	EBM Netz AG
Basadingen-Schlattingen	8254	TG	4536	Elektrizitätswerk der Gemeinde Basadingen-Schlattingen
Basel	4000	BS	2701	Industrielle Werke Basel IWB
Bas-Intyamon	1665	FR	2162	Groupe E SA
Basse-Allaine	2923	JU	6807	BKW FMB Energie AG
Bassecourt	2854	JU	6701	BKW FMB Energie AG
Bassersdorf	8303	ZH	52	Elektrizitätswerke des Kantons Zürich EKZ
Bassins	1269	VD	5703	Romande Energie SA
Bas-Vully	1788	FR	2280	Groupe E SA
Bätterkinden	3315	BE	533	Genossenschaft Elektra, Jegenstorf
Bätterkinden	3315	BE	533	onyx Energie Netze AG
Bättwil	4112	SO	2471	EBM Netz AG
Bauen	6466	UR	1204	Elektrizitätswerk Altdorf AG
Baulmes	1446	VD	5745	Romande Energie SA
Bauma	8493	ZH	171	Elektrizitätswerke des Kantons Zürich EKZ
Bavois	1372	VD	5746	Romande Energie SA
Beatenberg	3803	BE	571	BKW FMB Energie AG
Beckenried	6375	NW	1501	Gemeindewerk Beckenried
Bedano	6930	TI	5148	Aziende Industriali di Lugano SA AIL
Bedigliora	6981	TI	5149	Aziende Industriali di Lugano SA AIL
Bedretto	6781	TI	5063	Azienda Elettrica Comunale Bedretto
Beggingen	8228	SH	2951	Elektrizitätswerk des Kantons Schaffhausen AG EKS
Begnins	1268	VD	5704	Romande Energie SA
Begnins	1268	VD	5704	Société Electrique Intercommunale de La Côte S.A.
Beinwil (Freiamt)	5637	AG	4224	Elektra Brunnwil
Beinwil (Freiamt)	5637	AG	4224	Elektra-Genossenschaft Beinwil
Beinwil (SO)	4229	SO	2612	EBM Netz AG
Beinwil am See	5712	AG	4131	Technische Betriebe Beinwil am See
Belfaux	1782	FR	2175	Groupe E SA
Bellach	4512	SO	2542	AEK Energie AG
Bellerive (VD)	1585	VD	5452	Groupe E SA
Bellevue	1293	GE	6606	Services Industriels de Genève SIG
Bellikon	5454	AG	4022	Elektra-Genossenschaft Bellikon-Hausen
Bellinzona	6500	TI	5002	Aziende Municipalizzate Bellinzona
Bellmund	2564	BE	732	Einwohnergemeinde Bellmund
Bellwald	3997	VS	6052	EnBAG Netze AG
Belmont-sur-Lausanne	1092	VD	5581	Services industriels de Belmont
Belmont-sur-Yverdon	1432	VD	5902	Romande Energie SA
Belp	3123	BE	861	BKW FMB Energie AG
Belp	3123	BE	861	Energie Belp AG
Belprahon	2744	BE	681	BKW FMB Energie AG
Benken (SG)	8717	SG	3312	Elektrizitätsversorgung Benken SG
Benken (ZH)	8463	ZH	22	Elektrizitätsversorgung Benken
Bennwil	4431	BL	2882	Elektra Baselland
Benzenschwil	5636	AG	4225	Elektrizitäts-Genossenschaft Benzenschwil
Bercher	1038	VD	5512	Romande Energie SA
Berg (SG)	9305	SG	3211	Elektra Berg
Berg (TG)	8572	TG	4891	Technische Gemeindebetriebe Berg
Berg am Irchel	8415	ZH	23	Elektrizitätswerke des Kantons Zürich EKZ
Bergdietikon	8962	AG	4023	AEW Energie AG
Bergün/Bravuogn	7482	GR	3521	Elektrizitätswerk der Gemeinde Bergün
Berikon	8965	AG	4062	Elektrizitäts - Versorgung Berikon
Beringen	8222	SH	2932	Elektrizitätswerk des Kantons Schaffhausen AG EKS
Berken	3376	BE	972	onyx Energie Netze AG
Berlingen	8267	TG	4801	Elektrizitätswerk der Gemeinde Berlingen
Bern	3000	BE	351	Energie Wasser Bern ewb
Berneck	9442	SG	3233	Elektra Walzenhausen
Berneck	9442	SG	3233	Politische Gemeinde Berneck
Bernex	1233	GE	6607	Services Industriels de Genève SIG
Berolle	1149	VD	5424	Romande Energie SA
Beromünster	6215	LU	1081	Centralschweizerische Kraftwerke AG CKW
Bertschikon	8543	ZH	212	Elektrizitätswerke des Kantons Zürich EKZ
Bertschikon	8543	ZH	212	Werkbetriebe Kefikon
Besazio	6863	TI	5243	Aziende Industriali di Lugano SA AIL
Besenbüren	5627	AG	4226	Elektra Besenbüren
Betschwanden	8777	GL	1601	Technische Betriebe Glarus Süd
Betten	3991	VS	6171	EnBAG Netze AG
Bettenhausen	3366	BE	973	onyx Energie Netze AG
Bettens	1042	VD	5471	Romande Energie SA
Bettingen	4126	BS	2702	Industrielle Werke Basel IWB
Bettlach	2544	SO	2543	AEK Energie AG
Bettwiesen	9553	TG	4716	Politische Gemeinde Bettwiesen
Bettwil	5618	AG	4227	Elektra Bettwil
Beurnevésin	2935	JU	6773	BKW FMB Energie AG
Bevaix	2022	NE	6402	Groupe E SA
Bever	7502	GR	3781	Repower Klosters AG
Bévilard	2735	BE	682	BKW FMB Energie AG
Bex	1880	VD	5402	Forces Motrices de l'Avançon SA
Bex	1880	VD	5402	Romande Energie SA
Biasca	6710	TI	5281	Società Elettrica Sopracenerina SA (Ticino)
Biberist	4562	SO	2513	AEK Energie AG
Biberist	4562	SO	2513	EV Energieversorgung Biberist
Bibern (SO)	4578	SO	2444	Gebnet AG
Biberstein	5023	AG	4002	IBAarau Strom AG
Bichelsee-Balterswil	8362	TG	4721	Genossenschaft Werk Bichelsee-Balterswil
Biel/Bienne	2500	BE	371	Energie Service Biel / Bienne
Biel-Benken	4105	BL	2764	EBM Netz AG
Bière	1145	VD	5425	Romande Energie SA
Bière	1145	VD	5425	Société Electrique des Forces de l' Aubonne S.A.
Biezwil	4585	SO	2445	Gebnet AG
Biglen	3507	BE	603	Einwohnergemeinde Biglen
Billens-Hennens	1681	FR	2063	Groupe E SA
Bilten	8865	GL	1602	Technische Betriebe Glarus Nord
Binn	3996	VS	6054	Elektrizitätsgenossenschaft Binn
Binn	3996	VS	6054	Elektrizitätswerk Ernen- Mühlebach AG
Binningen	4101	BL	2765	EBM Netz AG
Bioggio	6934	TI	5151	Aziende Industriali di Lugano SA AIL
Bioley-Magnoux	1407	VD	5903	Romande Energie SA
Bioley-Orjulaz	1042	VD	5513	Romande Energie SA
Birgisch	3903	VS	6001	EnBAG Netze AG
Birmensdorf (ZH)	8903	ZH	242	Elektrizitätswerke des Kantons Zürich EKZ
Birmenstorf (AG)	5413	AG	4024	Technische Betriebe Birmenstorf
Bironico	6804	TI	5153	Aziende Industriali di Lugano SA AIL
Birr	5242	AG	4092	IBB Strom AG
Birrhard	5244	AG	4093	AEW Energie AG
Birrwil	5708	AG	4132	EWS Energie AG
Birsfelden	4127	BL	2766	EBM Netz AG
Birwinken	8585	TG	4901	Technische Werke der Gemeinde Birwinken
Bischofszell	9220	TG	4471	EKT AG
